name,link
Recitallion,https://store.steampowered.com/app/3323310/Recitallion/?snr=1_7_7_230_150_3
Driving Is Hard,https://store.steampowered.com/app/3175860/Driving_Is_Hard/?snr=1_7_7_230_150_3
Take a Walk,https://store.steampowered.com/app/3449100/Take_a_Walk/?snr=1_7_7_230_150_3
Solar Nations 2,https://store.steampowered.com/app/2275440/Solar_Nations_2/?snr=1_7_7_230_150_3
A Taste of History,https://store.steampowered.com/app/2618630/A_Taste_of_History/?snr=1_7_7_230_150_3
Mystic Warfare,https://store.steampowered.com/app/3246110/Mystic_Warfare/?snr=1_7_7_230_150_3
Invertigo,https://store.steampowered.com/app/1659520/Invertigo/?snr=1_7_7_230_150_3
Mountain Legends 5,https://store.steampowered.com/app/3446300/Mountain_Legends_5/?snr=1_7_7_230_150_3
From Zero to Slime Hero,https://store.steampowered.com/app/3397380/From_Zero_to_Slime_Hero/?snr=1_7_7_230_150_3
Коллекция «The Sims™ Наследие»,https://store.steampowered.com/app/3314060/Kollekcziya_The_Sims_Nasledie/?snr=1_7_7_230_150_3
Коллекция «The Sims™ 2 Наследие»,https://store.steampowered.com/app/3314070/Kollekcziya_The_Sims_2_Nasledie/?snr=1_7_7_230_150_3
Campus Legends College Basketball,https://store.steampowered.com/app/3126980/Campus_Legends_College_Basketball/?snr=1_7_7_230_150_4
Genso Manège,https://store.steampowered.com/app/2497670/Genso_Mange/?snr=1_7_7_230_150_4
City of Springs,https://store.steampowered.com/app/1752780/City_of_Springs/?snr=1_7_7_230_150_4
Shawley - Zoo of Wonders,https://store.steampowered.com/app/2898210/Shawley__Zoo_of_Wonders/?snr=1_7_7_230_150_4
Hired 2 Die,https://store.steampowered.com/app/1729140/Hired_2_Die/?snr=1_7_7_230_150_4
My Little Life,https://store.steampowered.com/app/2834600/My_Little_Life/?snr=1_7_7_230_150_4
FlyKnight,https://store.steampowered.com/app/3108510/FlyKnight/?snr=1_7_7_230_150_4
Fearful Obscured Grounds,https://store.steampowered.com/app/3422770/Fearful_Obscured_Grounds/?snr=1_7_7_230_150_4
Heart of the Machine,https://store.steampowered.com/app/2001070/Heart_of_the_Machine/?snr=1_7_7_230_150_4
Нежить Изгнанник,https://store.steampowered.com/app/3435420/Nezhit_Izgnannik/?snr=1_7_7_230_150_4
